Using dt = 10 seconds, T = 0.25 years
Initializing waveform generator...
Creating GenerateEMRIWaveform class...
Done initializing waveform generator.
Creating GravWaveAnalysis class...
Initializing loglike class...
Done initializing loglike class.
Calculating SNR...
SNR calculated: 5.942134448355127
Setting up log_density and prior functions...
Done setting up log-likelihood and prior.
Setting up ParisMC sampler...
Done setting up ParisMC sampler.
Setting up initial covariance matrix...
Done setting up initial covariance matrix.
Initializing sampler...
Done initializing sampler.
Starting point (phys): [6.03302293, 1.12261954, 0.69265393, 9.04744717, 0.31691929]
Starting log_density (S=3): [8.66187251]
Running sampling...
[Anneal11] S=3 improved -> 8.66091 at iter 500
[Anneal11] S=3 improved -> 8.73483 at iter 501
[Anneal11] S=3 improved -> 8.77739 at iter 504
[Anneal11] S=3 improved -> 8.77940 at iter 506
[Anneal11] S=3 improved -> 8.78219 at iter 617
[Anneal11] S=3 improved -> 8.78493 at iter 659
[Anneal11] S=3 improved -> 8.79162 at iter 729
[Anneal11] S=3 improved -> 8.79191 at iter 849
[Anneal11] S=3 improved -> 8.79206 at iter 957
[Anneal11] S=3 improved -> 8.80497 at iter 1643
[Anneal11] S=3 improved -> 8.82678 at iter 2178
[Anneal11] S=3 improved -> 8.83010 at iter 2718
[Anneal11] S=3 improved -> 8.87010 at iter 2973
[Anneal11] S=3 improved -> 8.94631 at iter 3051
[Anneal11] S=3 improved -> 9.68299 at iter 3070
[Anneal11] S=3 improved -> 10.24869 at iter 3814
[Anneal11] S=3 improved -> 11.65759 at iter 3867
[Anneal11] S=3 improved -> 13.84800 at iter 4406
[Anneal11] S=3 improved -> 13.97052 at iter 4815
[Anneal11] S=3 improved -> 14.09183 at iter 4882
[Anneal11] S=3 improved -> 15.74173 at iter 4969
[Anneal11] S=3 improved -> 15.96280 at iter 5645
[Anneal11] S=3 improved -> 16.44357 at iter 6556
[Anneal11] S=3 improved -> 16.92409 at iter 8867
[Anneal11] Stuck 10000 iters at S=3. Jumping -> S=10 at iter 18867
[Anneal11] S=10 improved -> 20.83345 at iter 18869
[Anneal11] S=10 improved -> 24.25099 at iter 18876
[Anneal11] S=10 improved -> 36.39873 at iter 18889
[Anneal11] S=10 improved -> 39.17946 at iter 18901
[Anneal11] S=10 improved -> 48.92897 at iter 19009
[Anneal11] S=10 improved -> 51.78152 at iter 19038
[Anneal11] S=10 improved -> 52.68992 at iter 19502
[Anneal11] S=10 improved -> 53.89315 at iter 19503
[Anneal11] S=10 improved -> 54.04235 at iter 19580
[Anneal11] S=10 improved -> 54.20836 at iter 19597
[Anneal11] S=10 improved -> 54.27142 at iter 19637
[Anneal11] S=10 improved -> 54.47625 at iter 19715
[Anneal11] S=10 improved -> 54.53683 at iter 19801
[Anneal11] S=10 improved -> 54.72414 at iter 19802
[Anneal11] S=10 improved -> 55.46051 at iter 19811
[Anneal11] S=10 improved -> 55.50290 at iter 20004
[Anneal11] S=10 improved -> 55.76693 at iter 20078
[Anneal11] S=10 improved -> 56.25853 at iter 20105
[Anneal11] S=10 improved -> 56.61967 at iter 20106
[Anneal11] S=10 improved -> 57.17267 at iter 20196
[Anneal11] S=10 improved -> 57.60047 at iter 20201
[Anneal11] S=10 improved -> 57.78461 at iter 20228
[Anneal11] S=10 improved -> 58.11927 at iter 20252
[Anneal11] S=10 improved -> 58.12669 at iter 20398
[Anneal11] S=10 improved -> 58.97527 at iter 20400
[Anneal11] Stuck 10000 iters at S=10. Jumping -> S=30 at iter 30400
[Anneal11] S=30 improved -> 75.84060 at iter 30401
[Anneal11] S=30 improved -> 94.13188 at iter 30402
[Anneal11] S=30 improved -> 147.74321 at iter 30404
[Anneal11] S=30 improved -> 148.94274 at iter 30406
[Anneal11] S=30 improved -> 151.97757 at iter 30411
[Anneal11] S=30 improved -> 156.24251 at iter 30441
[Anneal11] S=30 improved -> 166.54223 at iter 30449
[Anneal11] S=30 improved -> 167.67548 at iter 30506
[Anneal11] S=30 improved -> 168.24808 at iter 30512
[Anneal11] S=30 improved -> 168.93812 at iter 30525
[Anneal11] S=30 improved -> 170.74966 at iter 30598
[Anneal11] S=30 improved -> 171.95137 at iter 30601
[Anneal11] S=30 improved -> 172.08211 at iter 30643
[Anneal11] S=30 improved -> 172.37534 at iter 30647
[Anneal11] S=30 improved -> 172.63613 at iter 30648
[Anneal11] S=30 improved -> 172.95821 at iter 30744
[Anneal11] S=30 improved -> 173.99490 at iter 30763
[Anneal11] S=30 improved -> 174.08892 at iter 30778
[Anneal11] S=30 improved -> 174.49687 at iter 30828
[Anneal11] S=30 improved -> 174.92331 at iter 30831
[Anneal11] S=30 improved -> 175.44753 at iter 31124
[Anneal11] S=30 improved -> 175.88001 at iter 31125
[Anneal11] S=30 improved -> 175.90355 at iter 31610
[Anneal11] S=30 improved -> 176.30004 at iter 31880
[Anneal11] S=30 improved -> 176.30531 at iter 32386
[Anneal11] S=30 improved -> 176.65359 at iter 33486
[Anneal11] Stuck 10000 iters at S=30. Jumping -> S=100 at iter 43486
[Anneal11] S=100 improved -> 534.62737 at iter 43487
[Anneal11] S=100 improved -> 558.81203 at iter 43488
[Anneal11] S=100 improved -> 567.63846 at iter 43493
[Anneal11] S=100 improved -> 568.11037 at iter 43503
[Anneal11] S=100 improved -> 569.13575 at iter 43516
[Anneal11] S=100 improved -> 570.37378 at iter 43520
[Anneal11] S=100 improved -> 570.65127 at iter 43534
[Anneal11] S=100 improved -> 571.93770 at iter 43567
[Anneal11] S=100 improved -> 572.53114 at iter 43569
[Anneal11] S=100 improved -> 572.69950 at iter 43574
[Anneal11] S=100 improved -> 572.84050 at iter 43585
[Anneal11] S=100 improved -> 573.87660 at iter 43597
[Anneal11] S=100 improved -> 575.46033 at iter 43620
[Anneal11] S=100 improved -> 576.27189 at iter 43657
[Anneal11] S=100 improved -> 576.33867 at iter 43662
[Anneal11] S=100 improved -> 576.67756 at iter 43685
[Anneal11] S=100 improved -> 578.15110 at iter 43796
[Anneal11] S=100 improved -> 578.37041 at iter 43814
[Anneal11] S=100 improved -> 578.45329 at iter 43909
[Anneal11] S=100 improved -> 578.85167 at iter 43924
[Anneal11] S=100 improved -> 579.46952 at iter 43955
[Anneal11] S=100 improved -> 579.56633 at iter 43988
[Anneal11] S=100 improved -> 579.80531 at iter 43993
[Anneal11] S=100 improved -> 580.36048 at iter 44015
[Anneal11] S=100 improved -> 581.44149 at iter 44021
[Anneal11] S=100 improved -> 581.90082 at iter 44031
[Anneal11] S=100 improved -> 582.52323 at iter 44071
[Anneal11] S=100 improved -> 582.62971 at iter 44081
[Anneal11] S=100 improved -> 583.14175 at iter 44082
[Anneal11] S=100 improved -> 584.41390 at iter 44085
[Anneal11] S=100 improved -> 585.12035 at iter 44102
[Anneal11] S=100 improved -> 585.21680 at iter 44104
[Anneal11] S=100 improved -> 585.66883 at iter 44108
[Anneal11] S=100 improved -> 585.68856 at iter 44119
[Anneal11] S=100 improved -> 585.70168 at iter 44187
[Anneal11] S=100 improved -> 585.90588 at iter 44207
[Anneal11] S=100 improved -> 586.60527 at iter 44267
[Anneal11] S=100 improved -> 586.80922 at iter 44315
[Anneal11] S=100 improved -> 587.08429 at iter 44353
[Anneal11] S=100 improved -> 587.23499 at iter 44396
[Anneal11] S=100 improved -> 587.66584 at iter 44503
[Anneal11] S=100 improved -> 588.56530 at iter 44514
[Anneal11] S=100 improved -> 589.04787 at iter 44539
[Anneal11] S=100 improved -> 589.16722 at iter 44591
[Anneal11] S=100 improved -> 589.54134 at iter 44613
[Anneal11] S=100 improved -> 589.73353 at iter 45536
[Anneal11] S=100 improved -> 590.02006 at iter 47423
[Anneal11] S=100 improved -> 590.08673 at iter 47782
[Anneal11] S=100 improved -> 590.12375 at iter 49468
[Anneal11] S=100 improved -> 590.19486 at iter 50781
[Anneal11] S=100 improved -> 590.30857 at iter 58729
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68729.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68730.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68731.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68732.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68733.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68734.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68735.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68736.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68737.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68738.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68739.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68740.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68741.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68742.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68743.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68744.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68745.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68746.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68747.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68748.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68749.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68750.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68751.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68752.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68753.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68754.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68755.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68756.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68757.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68758.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68759.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68760.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68761.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68762.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68763.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68764.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68765.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68766.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68767.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68768.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68769.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68770.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68771.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68772.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68773.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68774.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68775.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68776.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68777.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68778.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68779.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68780.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68781.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68782.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68783.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68784.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68785.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68786.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68787.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68788.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68789.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68790.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68791.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68792.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68793.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68794.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68795.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68796.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68797.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68798.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68799.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68800.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68801.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68802.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68803.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68804.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68805.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68806.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68807.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68808.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68809.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68810.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68811.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68812.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68813.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68814.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68815.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68816.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68817.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68818.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68819.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68820.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68821.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68822.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68823.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68824.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68825.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68826.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68827.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68828.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68829.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68830.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68831.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68832.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68833.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68834.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68835.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68836.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68837.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68838.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68839.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68840.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68841.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68842.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68843.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68844.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68845.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68846.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68847.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68848.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68849.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68850.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68851.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68852.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68853.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68854.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68855.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68856.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68857.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68858.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68859.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68860.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68861.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68862.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68863.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68864.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68865.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68866.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68867.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68868.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68869.
